,E16,E9,E18,E24,E22,E27,E23,E2,E3,E30,E8,E4,E11,E21,E25,E0,E20,E19,E6,E12,E14,E7,E29,E17,E13,E1,E28,E5,E10
2002,0.0007327357113572725,9.283561600453979e-06,,1.6877174855040164e-05,1.5778922208692587e-05,2.2666965839420448e-05,-6.264476749687177e-05,-7.04480817886752e-05,-3.2336697275111344e-05,2.619610108614372e-05,-1.602934612337213e-05,-2.4567537962688797e-05,,3.0749748856809896e-06,-7.485377263049007e-06,,3.6279860878128017e-06,2.6204862265991513e-05,,,-0.00023327135106364447,-8.184172180247497e-05,,1.099389713600773e-05,5.558432753074996e-06,4.872470133918507e-06,,,
2003,0.000871475418111417,,-8.621816557367293e-06,-2.510425978001393e-05,7.665339286162332e-06,-2.0403707197908687e-05,-3.2079759773460904e-05,-4.366644961595074e-05,-1.1849108365317778e-05,8.948480184334132e-06,-6.0797576124106125e-06,-1.165091946339511e-05,,1.615572391819466e-06,-3.674487278487802e-06,,,4.55203185384008e-05,,,-1.877661896069628e-05,-6.490560757049037e-05,,2.9590702344360208e-06,7.510390741226783e-06,6.780483920069475e-06,3.0013066159127343e-06,,
2004,0.0009436095835455224,-1.3476613901858715e-05,-2.6728432485485527e-05,-5.454910047574446e-05,2.2071587996499173e-06,-4.513864927618269e-05,-1.4275951102844494e-05,-2.2942816914734506e-05,-1.4893388512374163e-05,,-2.7036522728585057e-06,-5.4884638782679365e-06,,,-1.8040478009079784e-06,,,4.314239793714485e-05,,-2.0174268333972447e-06,0.001000832877999033,-6.799438981213438e-05,,,2.4685910611720765e-06,7.4264661172111464e-06,4.028388584885619e-06,-2.8756711140487216e-06,
2005,0.000888331050481599,-3.3752731252898686e-05,-4.099259682383786e-05,-8.56684896903871e-05,,-7.277610953964524e-05,-1.9267968934875805e-06,-7.901215450138027e-06,-1.4017133829953045e-06,-2.4753727804946435e-06,,,-4.486623164225243e-06,,,,,2.5035108651783934e-05,2.82630559473443e-06,-7.30608480923618e-07,7.626267272395197e-05,-0.0001189545559935626,2.147133401717927e-06,,3.150956187384698e-06,7.624647032473763e-06,4.938771053809301e-06,-3.104728146733856e-06,
2006,0.0007399274815046565,-3.8465941753662147e-05,-5.2551781056321255e-05,-0.00011119879724763799,-9.420400972305273e-07,-9.723100430429827e-05,,,,-8.673620017641073e-06,1.8687230993649209e-06,1.4105667439957023e-06,-1.1269613315874002e-05,,,,,2.7840721835324265e-05,5.051531920270095e-06,,-0.00010048911434005453,-5.4358159916347265e-05,7.237139655924709e-07,,9.020224544178544e-07,5.219358307023204e-06,5.561610868371251e-06,-3.827271914098418e-06,1.4426339432926808e-06
2007,0.0005091426171806948,-5.934116098980707e-05,-7.152957081055472e-05,-0.0001468811436254069,-6.431737277545757e-06,-0.00013082388155435042,1.0311406041042847e-05,3.826115183558804e-06,,-2.0247765164861848e-05,6.44202040474013e-06,8.00881812074313e-06,-1.8174821897588e-05,,,,,2.5970057809565563e-05,7.654656263012037e-06,,-0.00013564061086972283,-6.597606670711372e-05,,,,2.9236311743238377e-06,6.621017286401697e-06,-3.699750336094167e-06,2.956484293406569e-06
2008,0.0002697585375321136,-0.00010206845399530345,-0.00010390381251159384,-0.00018946924940419266,-2.4924454070306048e-05,-0.00017159318028368766,2.369277549318688e-05,1.3965851416919666e-05,6.8873865055848246e-06,-4.265272783365794e-05,1.1809150602697896e-05,1.7410825831422816e-05,-2.9586668657472068e-05,,,-5.6095768044478125e-06,-4.838753769844214e-06,1.5350098308535053e-05,8.284782951317336e-06,,0.0009249356796074286,-9.652683129023472e-05,,,,,5.3428260368941906e-06,,
2009,0.00013336142394359575,-0.00015862626678448451,-0.00012016148174947942,-0.0002233458546453508,-3.759868084357901e-05,-0.00020261526987611024,7.338651883751672e-05,4.2850393660957223e-05,3.525141333925565e-05,-6.947038340068606e-05,2.3480033050730757e-05,3.707770309038577e-05,-3.810313839574961e-05,-6.621811761562107e-06,1.0024882002715869e-05,-9.613557159339177e-06,,1.0387230840202145e-05,1.0035499563255598e-05,,-0.00020291763919913212,-6.702306679600036e-05,,,,,,,
2010,4.0096426856926206e-05,-0.0002417157380202985,-0.00016707280260626085,-0.000236235913231351,-7.87616015290077e-05,-0.0002126543881682579,0.0001029993851443642,7.230185303949113e-05,6.064323469798889e-05,-0.00012395756339342008,2.996474589512805e-05,5.4109401166902425e-05,-5.152274632947042e-05,-1.5861788414336464e-05,1.4531827020977905e-05,-1.49245749951896e-05,-1.1347786288627075e-05,,8.885447102924813e-06,,0.0009520466644255543,-0.00015348552865209787,,,,,,,
2011,,-0.00027726867276272726,-0.00018422345376857248,-0.0002621826022087797,-0.00011240958964280805,-0.00023842262828151662,0.0001705613507699778,0.00012107170048983036,0.0001172867402225589,-0.00016464508935300887,5.277167781798204e-05,8.802205441298572e-05,-6.819077048197736e-05,-2.9822710213171734e-05,2.2610063841839586e-05,-1.9412394204533582e-05,-1.5893705033243733e-05,,1.166569261720757e-05,,-3.3643489081812514e-05,-0.00010679744597024852,-7.28549578233532e-06,,,,,,
2012,,-0.00039668568377245004,-0.00019568712987193043,-0.0003258034524189861,-0.00015964679052376347,-0.00030268201092606114,0.00023559967889128907,0.00017593475909587967,0.0001698291498219654,-0.0001899490066313487,8.306604170265513e-05,0.00012058521856123387,-8.093845475202501e-05,-4.823264472513661e-05,3.132900863495221e-05,-2.3392483910748748e-05,-2.5224380730732817e-05,-2.259496706746736e-05,1.1857610907876849e-05,,-0.00023772908122137845,,-1.284668315305659e-05,,,,,,
2013,-5.031654569383258e-05,-0.0005065642372872629,-0.00020166524773847184,-0.0003604918302492579,-0.00021966118091660452,-0.00033527751835730297,0.00029352007039711546,0.00023450556235725482,0.00022657065719645323,-0.00021866626693510614,0.00011756515740837326,0.0001591788269286233,-0.00010403691429071752,-6.918991242858428e-05,4.2421966167464074e-05,-3.626866135897778e-05,-3.2181534855423456e-05,-7.694803613261878e-05,,,-5.786626236905994e-05,,-2.216859708991829e-05,,,,,,
2014,-0.00011061859827164364,-0.0006663330045162466,-0.0002252339695526873,-0.00039793453218292616,-0.000318558013695569,-0.0003713550979717751,0.000369622306564581,0.00030265878818496903,0.0002804928486525131,-0.0002525616818160295,0.00015992460196148205,0.00019481806387960953,-0.000129117206950179,-9.087875543779833e-05,5.3360653096224525e-05,-5.3295412761289744e-05,-4.822740822925663e-05,-0.0001210946724783332,,,-0.00026830456706848876,0.00012153249334294694,,,,,,,
2015,-0.00018777395609359798,-0.0008292942437265654,-0.000257424211174201,-0.0004384876044983095,-0.00044131785324112195,-0.0004089008992967441,0.0004578363815399807,0.000368278941205349,0.00037454569674504057,-0.00032673578312226916,0.00020118075344346736,0.00023331576144325393,-0.00014877996839473434,-0.00012790133834192276,6.16769349585878e-05,-6.892491330111702e-05,-6.527177713724864e-05,-0.000170854860827773,,,-0.00015025641869299613,6.115513674923175e-05,,,,,,,
2016,-0.00026268953205033237,-0.000978296275317445,-0.00030741443760094744,-0.00047707108526580605,-0.0006337357005488185,-0.0004452751461022071,0.0005607708311540661,0.00045549513841091575,0.00046116844938402096,-0.0003852340222911836,0.0002520655837226224,0.0002759354378303936,-0.00017166264098142825,-0.00015210148300545537,7.164386203680558e-05,-8.573755404642734e-05,-7.981793012213381e-05,-0.0002736156205475817,,,-0.0002479672804831818,,-4.849298422049094e-05,,,,,,
2017,-0.0003846578931014934,-0.0010411960277349431,-0.00037532350542926257,-0.0005169858298770349,-0.0008598306384693102,-0.00048412274081244115,0.0006658605404643702,0.0005524465227906093,0.0005465989632803293,-0.00044616324218101685,0.0002997872241734989,0.00030139082467242964,-0.00020077340264230254,-0.00019229676351128762,8.176138016059156e-05,-9.715703462527796e-05,-9.506080678546808e-05,-0.00036770155762619414,,,-0.00018013487334351026,,-5.4034147893592885e-05,,,,,,
2018,-0.0005621345723316891,-0.0012808386577998878,-0.0004297829071348491,-0.0005858179767940241,-0.0011204994379020684,-0.0005502414553480895,0.0007921324883376837,0.0006370115280045639,0.0006640685922023881,-0.0005494772367292829,0.00034427844214270954,0.00033115757220928506,-0.0002178192348517838,-0.00023293940173202898,9.489363323252249e-05,-0.00010835995361237161,-0.00010535059530649381,-0.0003876884685359975,,,-0.0002128681851283786,,-5.319054655778454e-05,,,,,,
2019,-0.0006937097624866223,-0.0015087213555670456,-0.0004789228221199907,-0.0006455037023531296,-0.0013877767750076668,-0.0006064454276726574,0.0009364594979420094,0.0007080584802438413,0.0007778402755728546,-0.0006608935696732847,0.00038687607701047,0.00036162216790956367,-0.00024214066886742202,-0.0002667357195646051,0.0001064817125526064,-0.00012093805517080056,-0.00011831374250726703,-0.0003798262351901475,,,-0.00030382674799311535,-0.00013005614194699027,,,,,,,
