Corpus 1,Corpus 2,value
2016,2005,0.35129893640395626
2017,2005,0.4012419881848909
2018,2005,0.477608267218054
2019,2005,0.5508300757774585
2006,2006,0.0
2007,2006,0.04084001262548481
2008,2006,0.1926480342758962
2009,2006,0.11196736619637791
2010,2006,0.2229674296769526
2011,2006,0.14902567389207033
2012,2006,0.17116709404586278
2013,2006,0.19598153381110509
2014,2006,0.23614338219541303
2015,2006,0.27868849816575586
2016,2006,0.3306487757275555
2017,2006,0.38267940462882405
2018,2006,0.45972431299033717
2019,2006,0.5335410217967963
2007,2007,0.0
2008,2007,0.18466606732659493
2009,2007,0.07198861757338205
2010,2007,0.20762686196386124
2011,2007,0.11356081531485272
2012,2007,0.13771958107908955
2013,2007,0.16572681917198354
2014,2007,0.20774319300253208
2015,2007,0.25228863278202246
2016,2007,0.3057666135252483
2017,2007,0.35853801633792126
2018,2007,0.4360407896862041
2019,2007,0.5104815237990702
2008,2008,0.0
2009,2008,0.1931389576063903
2010,2008,0.055830226561208285
2011,2008,0.17858197788282126
2012,2008,0.22254746381946147
2013,2008,0.2139674913932921
2014,2008,0.2695885648548211
2015,2008,0.2893760408032692
2016,2008,0.34243477768745173
2017,2008,0.3812876554006174
2018,2008,0.4525762654395601
2019,2008,0.5264968471095807
2009,2009,0.0
2010,2009,0.1978635969553374
2011,2009,0.056169584630041555
2012,2009,0.07868579523421058
2013,2009,0.11266230584970527
2014,2009,0.15491375998794302
2015,2009,0.20163404228001744
2016,2009,0.25631350153385274
2017,2009,0.3097281367231585
2018,2009,0.3869001508322875
2019,2009,0.4617408714979906
2010,2010,0.0
2011,2010,0.16863866713167044
2012,2010,0.2102624184415481
2013,2010,0.1933502748484399
2014,2010,0.24747149981255312
2015,2010,0.25967335450612816
2016,2010,0.31039429261104895
2017,2010,0.3455092213681169
2018,2010,0.4139481582734958
2019,2010,0.4865040162574491
2011,2011,0.0
2012,2011,0.05126987168387301
2013,2011,0.0677937247666984
2014,2011,0.1206112786142861
2015,2011,0.15962564867697326
2016,2011,0.2159518263885497
2017,2011,0.26703097356012245
2018,2011,0.34399660253677905
2019,2011,0.4193143109474572
2012,2012,0.0
2013,2012,0.04479746639742056
2014,2012,0.0781234741599794
2015,2012,0.1255934476379851
2016,2012,0.18059685426106614
2017,2012,0.23560476194595584
2018,2012,0.3126878861808084
2019,2012,0.3881444268839751
2013,2013,0.0
2014,2013,0.059268806812265824
2015,2013,0.0938446502731033
2016,2013,0.1519595682835022
2017,2013,0.20501289045824822
2018,2013,0.2827476145337666
2019,2013,0.35965230304494733
2014,2014,0.0
2015,2014,0.054554366791320294
2016,2014,0.10723370597769115
2017,2014,0.16511652220550463
2018,2014,0.24179648656826294
2019,2014,0.31860453175094167
2015,2015,0.0
2016,2015,0.06006699264676725
2017,2015,0.11635745420394487
2018,2015,0.1930580068676032
2019,2015,0.2705638338310943
2016,2016,0.0
2017,2016,0.061127685024414284
2018,2016,0.13646462189171762
2019,2016,0.21373626618987848
2017,2017,0.0
2018,2017,0.07998959238847964
2019,2017,0.15930799610701235
2018,2018,0.0
2019,2018,0.08103188241526792
2019,2019,0.0
